net11,netframework-1.1
net20,netframework-2.0
net35,netframework-3.5
net40,netframework-4.0
net403,netframework-4.0.3
net45,netframework-4.5
net451,netframework-4.5.1
net452,netframework-4.5.2
net46,netframework-4.6
net461,netframework-4.6.1
net462,netframework-4.6.2
netcore,netcore-4.5
netcore45,netcore-4.5
netcore451,netcore-4.5.1
netcore50,netcore-5.0
netmf,netmf-nuget
netstandard1.0,netstandard-1.0
netstandard1.1,netstandard-1.1
netstandard1.2,netstandard-1.2
netstandard1.3,netstandard-1.3
netstandard1.4,netstandard-1.4
netstandard1.5,netstandard-1.5
netstandard1.6,netstandard-1.6